Time_s,Altitude_m,Velocity_ms,Mass_kg,Weight_N,Thrust_N,Drag_N,Acceleration_ms2,Temp_K,Press_Pa,Density_kgm3,Speed_of_Sound_ms,Mach_Number,Mass_Flow_Rate_kgs
64.5,53484.125946159,970.564540563084,16628.7517930722,160423.263778166,110000,3354.40351433735,-3.23401707847416,263.694447350755,171.565305616557,0.00226697424734505,325.503347057343,2.98173444094294,24.2706664725013
64.6,53581.1824002153,970.241138855237,16626.3247264249,160395.002735249,110000,3314.10972288148,-3.23036590117645,263.422689279397,169.44264088583,0.00224123623735356,325.335575294897,2.98227803084791,24.2706664725013
64.7,53678.2065141008,969.918102265119,16623.8976597777,160366.744941324,110000,3274.31414425826,-3.22674382286225,263.151021760518,167.346754678469,0.00221579887341758,325.167772916345,2.98282358539463,24.2706664725013
64.8,53775.1983243273,969.595427882833,16621.4705931304,160338.490393532,110000,3235.01042161834,-3.22315047365858,262.879444691884,165.277301951812,0.00219065854141762,324.999939811069,2.9833710998423,24.2706664725013
64.9,53872.1578671156,969.273112835467,16619.0435264832,160310.239089032,110000,3196.19228224698,-3.21958548853998,262.607957972076,163.233942214745,0.00216581167201208,324.832075868717,2.98392056955362,24.2706664725013
65,53969.0851783991,968.951154286613,16616.6164598359,160281.991024998,110000,3157.85353639835,-3.21604850726176,262.336561500482,161.216339465996,0.00214125474006348,324.664180979199,2.98447198999354,24.2706664725013
65.1,54065.9802938278,968.629549435887,16614.1893931887,160253.746198619,110000,3119.98807614684,-3.21253917429442,262.065255177282,159.224162133299,0.00211698426407222,324.496255032677,2.98502535672822,24.2706664725013
65.2,54162.8432487714,968.308295518457,16611.7623265414,160225.504607099,110000,3082.58987425532,-3.20905713875892,261.79403890344,157.25708301341,0.00209299680561802,324.328297919565,2.98558066542378,24.2706664725013
65.3,54259.6740783232,967.987389804582,16609.3352598942,160197.266247659,110000,3045.65298306008,-3.20560205436294,261.522912580695,155.314779212965,0.0020692889688087,324.160309530521,2.98613791184525,24.2706664725013
65.4,54356.4728173037,967.666829599145,16606.9081932469,160169.031117536,110000,3009.17153337197,-3.20217357933805,261.25187611155,153.396932090154,0.00204585739973635,323.99228975644,2.98669709185545,24.2706664725013
65.5,54453.2395002636,967.346612241211,16604.4811265997,160140.799213979,110000,2973.13973339376,-3.1987713763778,260.980929399262,151.503227197229,0.00202269878594077,323.824238488448,2.98725820141385,24.2706664725013
65.6,54549.9741614877,967.026735103574,16602.0540599524,160112.570534253,110000,2937.55186765327,-3.19539511257673,260.710072347834,149.633354223801,0.00199980985587992,323.656155617902,2.98782123657556,24.2706664725013
65.7,54646.6768349981,966.707195592316,16599.6269933052,160084.34507564,110000,2902.40229595214,-3.19204445937022,260.439304862005,147.787006940935,0.0019771873784076,323.488041036379,2.98838619349023,24.2706664725013
65.8,54743.3475545573,966.387991146379,16597.1999266579,160056.122835433,110000,2867.68545232989,-3.18871909247523,260.16862684724,145.963883146022,0.00195482816225786,323.31989463567,2.98895306840102,24.2706664725013
65.9,54839.9863536719,966.069119237132,16594.7728600107,160027.903810941,110000,2833.39584404309,-3.18541869183197,259.898038209718,144.163684608429,0.00193272905553642,323.151716307781,2.98952185764352,24.2706664725013
66,54936.5932655957,965.750577367948,16592.3457933634,159999.687999487,110000,2799.52805055942,-3.18214294154626,259.627538856332,142.386117015892,0.00191088694521873,322.983505944923,2.99009255764483,24.2706664725013
66.1,55033.1683233325,965.432363073794,16589.9187267162,159971.475398407,110000,2766.07672256634,-3.17889152983287,259.357128694669,140.630889921673,0.00188929875665473,322.815263439507,2.99066516492244,24.2706664725013
66.2,55129.7115596398,965.11447392081,16587.4916600689,159943.266005054,110000,2733.03658099413,-3.17566414895963,259.086807633008,138.897716692434,0.00186796145308015,322.646988684139,2.99123967608335,24.2706664725013
66.3,55226.2230070319,964.796907505915,16585.0645934217,159915.059816789,110000,2700.40241605318,-3.17246049519227,258.816575580311,137.186314456857,0.00184687203513427,322.478681571618,2.991816087823,24.2706664725013
66.4,55322.7026977825,964.479661456395,16582.6375267744,159886.856830992,110000,2668.16908628515,-3.16928026874019,258.546432446209,135.49640405496,0.00182602754038414,322.310341994927,2.99239439692437,24.2706664725013
66.5,55419.1506639282,964.162733429521,16580.2104601271,159858.657045052,110000,2636.3315176279,-3.16612317370291,258.276378141001,133.827709988131,0.00180542504285491,322.141969847231,2.99297460025701,24.2706664725013
66.6,55515.5669372711,963.846121112151,16577.7833934799,159830.460456374,110000,2604.88470249397,-3.16298891801731,258.006412575641,132.179960369847,0.00178506165256656,321.97356502187,2.99355669477611,24.2706664725013
66.7,55611.9515493823,963.529822220349,16575.3563268326,159802.267062375,110000,2573.82369886232,-3.15987721340565,257.736535661729,130.552886877086,0.00176493451507663,321.805127412356,2.99414067752157,24.2706664725013
66.8,55708.3045316044,963.213834499009,16572.9292601854,159774.076860485,110000,2543.14362938319,-3.15678777532431,257.466747311508,128.946224702403,0.001745040811029,321.636656912367,2.99472654561711,24.2706664725013
66.9,55804.6259150543,962.898155721476,16570.5021935381,159745.889848145,110000,2512.83968049589,-3.15372032291329,257.197047437848,127.35971250668,0.00172537775570866,321.468153415742,2.99531429626933,24.2706664725013
67,55900.9157306264,962.582783689185,16568.0751268909,159717.70602281,110000,2482.90710155924,-3.1506745789464,256.927435954246,125.793092372529,0.00170594259860226,321.299616816479,2.99590392676689,24.2706664725013
67.1,55997.1740089953,962.26771623129,16565.6480602436,159689.525381948,110000,2453.34120399457,-3.14765026978218,256.657912774813,124.24610975833,0.00168673262296455,321.131047008725,2.99649543447958,24.2706664725013
67.2,56093.4007806185,961.952951204312,16563.2209935964,159661.347923038,110000,2424.13736044095,-3.14464712531553,256.388477814268,122.718513452924,0.00166774514539046,320.962443886778,2.99708881685749,24.2706664725013
67.3,56189.5960757389,961.638486491781,16560.7939269491,159633.173643571,110000,2395.2910039227,-3.14166487893,256.119130987931,121.210055530919,0.0016489775153928,320.793807345078,2.99768407143018,24.2706664725013
67.4,56285.7599243881,961.324320003888,16558.3668603019,159605.00254105,110000,2366.79762702859,-3.1387032674508,255.849872211713,119.720491308615,0.00163042711498554,320.625137278203,2.9982811958058,24.2706664725013
67.5,56381.8923563885,961.010449677143,16555.9397936546,159576.834612991,110000,2338.65278110306,-3.13576203109842,255.580701402112,118.249579300545,0.00161209135827257,320.456433580867,2.99888018767029,24.2706664725013
67.6,56477.9934013562,960.696873474033,16553.5127270074,159548.669856919,110000,2310.85207544881,-3.13284091344298,255.311618476203,116.797081176615,0.0015939676910418,320.287696147914,2.99948104478659,24.2706664725013
67.7,56574.0630887036,960.383589382688,16551.0856603601,159520.508270373,110000,2283.39117654088,-3.12993966135917,255.04262335163,115.362761719826,0.00157605359036466,320.118924874311,3.00008376499379,24.2706664725013
67.8,56670.1014476418,960.070595416553,16548.6585937129,159492.349850903,110000,2256.26580725193,-3.12705802498186,254.773715946603,113.946388784595,0.00155834656420079,319.95011965515,3.0006883462064,24.2706664725013
67.9,56766.1085071835,959.757889614054,16546.2315270656,159464.194596068,110000,2229.47174608856,-3.12419575766232,254.504896179886,112.547733255637,0.00154084415100794,319.781280385638,3.00129478641351,24.2706664725013
68,56862.0842961449,959.445470038288,16543.8044604184,159436.042503441,110000,2203.00482643854,-3.12135261592507,254.236163970794,111.166569007423,0.00152354391935695,319.612406961096,3.00190308367808,24.2706664725013
68.1,56958.0288431487,959.133334776696,16541.3773937711,159407.893570604,110000,2176.86093582867,-3.11852835942535,253.967519239184,109.802672864194,0.0015064434675518,319.443499276952,3.00251323613615,24.2706664725013
68.2,57053.9421766264,958.821481940753,16538.9503271239,159379.74779515,110000,2151.03601519334,-3.11572275090716,253.698961905446,108.455824560522,0.00148954042325462,319.27455722874,3.00312524199608,24.2706664725013
68.3,57149.8243248205,958.509909665662,16536.5232604766,159351.605174683,110000,2125.52605815333,-3.11293555616192,253.430491890503,107.125806702416,0.00147283244311556,319.105580712096,3.00373909953788,24.2706664725013
68.4,57245.675315787,958.198616110046,16534.0961938294,159323.465706818,110000,2100.32711030493,-3.11016654398772,253.162109115796,105.81240472897,0.00145631721240758,318.936569622749,3.0043548071124,24.2706664725013
68.5,57341.495177398,957.887599455647,16531.6691271821,159295.32938918,110000,2075.43526851908,-3.10741548614909,252.893813503285,104.515406874526,0.0014399924446659,318.767523856525,3.00497236314069,24.2706664725013
68.6,57437.2839373436,957.576857907032,16529.2420605349,159267.196219403,110000,2050.84668025055,-3.10468215733741,252.625604975438,103.234604131365,0.00142385588133223,318.598443309334,3.00559176611325,24.2706664725013
68.7,57533.0416231343,957.266389691299,16526.8149938876,159239.066195134,110000,2026.55754285674,-3.10196633513179,252.357483455224,101.969790212909,0.00140790529140363,318.429327877174,3.00621301458934,24.2706664725013
68.8,57628.7682621034,956.956193057785,16524.3879272404,159210.939314027,110000,2002.56410292619,-3.09926779996059,252.08944886611,100.720761517429,0.0013921384710859,318.260177456123,3.00683610719634,24.2706664725013
68.9,57724.4638814092,956.646266277789,16521.9608605931,159182.815573749,110000,1978.86265561663,-3.09658633506345,251.821501132054,99.4873170922465,0.00137655324345156,318.090991942336,3.00746104262899,24.2706664725013
69,57820.128508037,956.336607644283,16519.5337939459,159154.694971974,110000,1955.44954400224,-3.09392172645377,251.553640177496,98.2692585984325,0.00136114745810217,317.921771232041,3.00808781964883,24.2706664725013
69.1,57915.7621688014,956.027215471638,16517.1067272986,159126.577506387,110000,1932.3211584302,-3.09127376288185,251.285865927356,97.0663902759852,0.00134591899083517,317.752515221535,3.00871643708344,24.2706664725013
69.2,58011.3648903486,955.718088095349,16514.6796606514,159098.463174683,110000,1909.47393588632,-3.08864223579845,251.018178307024,95.8785189094873,0.00133086574331496,317.583223807181,3.00934689382588,24.2706664725013
